ID	ORTHOGROUP	ID_ORTHOGROUP	AMBIGUOUS	query_length	subject_length	alignment_length	perc_identity	q_start	q_end	s_start	s_end	evalue	bit_score	score	query_id	LG	start	end	gene	subject_id	Accession	APG.IV.Order	APG.IV.Family	Species	Author	Locus	Gene_Models	GO_terms	Annotations
4694	4806	4694_4806	NA	830	1433	244	89.344	379	622	408	165	3.7e-83	307	166	NC_033813.1_LG_10_5676772_5676871_ID_4694	10	5676772	5676871	LOC109805612	P03-10G-4806	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G59440	2148283 || 2148282 || 4010713351 || 1005713708	AT5G59440 || AT5G59440.1 || AT5G59440.3 || AT5G59440.2	uridylate kinase activity | thymidylate kinase activity | dTDP biosynthetic process | cytoplasm | nucleoplasm | mitochondrion | dUDP biosynthetic process | ATP binding | embryo development ending in seed dormancy | dTTP biosynthetic process | hydrolase activity||chloroplast | cytosol||cytosol||cytosol | chloroplast
992	4932	992_4932	NA	1582	2123	527	86.528	218	743	158	683	1.37e-164	579	313	NC_033813.1_LG_10_9357551_9357854_ID_992.m	10	9357551	9357854	LOC109805739	P03-10G-4932	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G31955	2827337	AT2G31955	GTP 3',8'-cyclase activity | catalytic activity | 4 iron, 4 sulfur cluster binding | metal ion binding | GTP binding | mitochondrial matrix | Mo-molybdopterin cofactor biosynthetic process | mitochondrion | chloroplast | molybdopterin synthase complex
7846	5922	7846_5922	NA	1108	4074	520	82.885	320	837	709	207	7.81e-126	449	243	NW_017984126.1_S000020_140031_140276_ID_7846	Scaffold000020	140031	140276	LOC109813404	P03-10G-5922	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G12080	2099276 || 2099277 || 4010712539	AT3G12080.1 || AT3G12080 || AT3G12080.2	chloroplast | mitochondrion||GTP binding | transcription from plastid promoter | embryo development ending in seed dormancy | chloroplast||chloroplast
8003	5528	8003_5528	NA	810	2927	168	88.095	325	492	2293	2127	2.27e-50	198	107	NW_017984759.1_S127686_87657_87910_ID_8003	Scaffold127686	87657	87910	LOC109790158	P03-10G-5528	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G17760	2007973 || 2007972	AT1G17760 || AT1G17760.1	gene silencing by RNA | mRNA binding | protein binding | mRNA processing | regulation of gene silencing | negative regulation of transcription, DNA-templated | antisense RNA metabolic process | nucleus | mRNA cleavage | RNA 3'-end processing | embryo sac development||nucleus
2277	6439	2277_6439	NA	994	748	383	83.551	387	767	419	45	7.3e-96	350	189	NC_033814.1_LG_11_45181320_45181555_ID_2277	11	45181320	45181555	LOC109809809	P03-10G-6439	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G13970	2119186 || 2119185 || 2088182 || 2088181	AT4G33460 || AT4G33460.1 || AT3G13970 || AT3G13970.1	transport | embryo development ending in seed dormancy | ATP binding | ATPase activity | transporter activity||chloroplast envelope | chloroplast||Atg12-Atg5-Atg16 complex | autophagosome assembly | C-terminal protein lipidation | autophagy of mitochondrion | cytoplasm | autophagy of nucleus | autophagy | Atg8 ligase activity | protein transport | pre-autophagosomal structure membrane||chloroplast
2277	6439	2277_6439	NA	994	748	383	83.551	387	767	419	45	7.3e-96	350	189	NC_033814.1_LG_11_45181320_45181555_ID_2277	11	45181320	45181555	LOC109809809	P03-10G-6439	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT4G33460	2119186 || 2119185 || 2088182 || 2088181	AT4G33460 || AT4G33460.1 || AT3G13970 || AT3G13970.1	transport | embryo development ending in seed dormancy | ATP binding | ATPase activity | transporter activity||chloroplast envelope | chloroplast||Atg12-Atg5-Atg16 complex | autophagosome assembly | C-terminal protein lipidation | autophagy of mitochondrion | cytoplasm | autophagy of nucleus | autophagy | Atg8 ligase activity | protein transport | pre-autophagosomal structure membrane||chloroplast
3592	6216	3592_6216	ID	940	2600	474	78.27	199	645	604	136	1.19e-73	276	149	NC_033814.1_LG_11_536241_536340_ID_3592	11	536241	536340	LOC109807773	P03-10G-6216	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G73060	2032661 || 2032662	AT1G73060.1 || AT1G73060	chloroplast | chloroplast stroma||chloroplast thylakoid membrane | proplastid stroma | photosystem II assembly | response to cytokinin | molecular_function_unknown
4246	6924	4246_6924	NA	1092	2418	273	84.982	363	634	837	1106	4.97e-73	274	148	NW_017984218.1_S000333_222766_223007_ID_4246	Scaffold000333	222766	223007	LOC109815837	P03-10G-6924	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G01590	2149735 || 2149734	AT5G01590 || AT5G01590.1	protein binding | chloroplast inner membrane | chloroplast envelope | plastid | protein import into chloroplast stroma | intracellular | cell | protein transporter activity||chloroplast envelope | nucleus | chloroplast
7467	6961	7467_6961	NA	1039	2964	347	81.844	291	632	1018	678	2.82e-75	281	152	NW_017984327.1_S000276_48555_48830_ID_7467	Scaffold000276	48555	48830	LOC109817857	P03-10G-6961	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT4G02790	2140270	AT4G02790	chloroplast | GTP binding | ribosome biogenesis | GTPase activity
6063	6500	6063_6500	ID	1805	2635	556	86.871	242	791	50	600	1.55e-174	612	331	NC_033811.1_LG_08_12386509_12386758_ID_6063.m	08	12386509	12386758	LOC109804536	P03-10G-6500	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G20330	2038951 || 2038952	AT2G20330.1 || AT2G20330	cytoplasm||Cul4-RING E3 ubiquitin ligase complex | nucleotide binding | biological_process_unknown
2204	6717	2204_6717	NA	1010	3457	599	82.471	387	978	2006	2589	1.5e-142	505	273	NC_033811.1_LG_08_17073562_17073661_ID_2204	08	17073562	17073661	LOC109804304	P03-10G-6717	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G18570	2182998 || 2182997	AT5G18570 || AT5G18570.1	chloroplast | chloroplast stroma | rRNA processing | GTPase activity | response to light stimulus | magnesium ion binding | chloroplast inner membrane | thylakoid membrane organization | embryo development | chloroplast organization | GTP binding | embryo development ending in seed dormancy||embryo development ending in seed dormancy
4870	5943	4870_5943	ID	950	3093	160	90.625	610	769	784	625	9.53e-55	213	115	NW_017984075.1_S137204_852078_852177_ID_4870	Scaffold137204	852078	852177	LOC109811246	P03-10G-5943	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G38020	2065674	AT2G38020	lysosomal membrane | vacuole organization | endosomal transport | HOPS complex | regulation of vacuole fusion, non-autophagic | intracellular protein transport | regulation of SNARE complex assembly | late endosome membrane | actin binding | plant-type vacuole membrane | protein complex | endosome
8222	5163	8222_5163	ID	1073	5835	465	82.151	435	891	555	115	6.06e-102	370	200	NW_017985703.1_S135229_8765_8990_ID_8222	Scaffold135229	8765	8990	LOC109792946	P03-10G-5163	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G77140	2196025 || 2196024	AT1G77140 || AT1G77140.1	protein binding | vesicle docking involved in exocytosis | protein secretion | plant-type vacuole membrane | trans-Golgi network | protein transporter activity | intracellular protein transport||Golgi apparatus
5789	6552	5789_6552	NA	990	2372	162	84.568	401	561	508	667	4.73e-38	158	85	NW_017984454.1_S133821_119456_119761_ID_5789	Scaffold133821	119456	119761	LOC109787668	P03-10G-6552	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G14100	2174653 || 2174652	AT5G14100 || AT5G14100.1	ATPase activity | transporter activity | transport | ATP binding||membrane | chloroplast envelope | plasma membrane | chloroplast
3115	6883	3115_6883	NA	816	1386	404	82.921	87	472	1186	788	9.97e-94	342	185	NW_017984121.1_S130701_503177_503276_ID_3115	Scaffold130701	503177	503276	LOC109813242	P03-10G-6883	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G34470	2040894 || 3694050 || 1009021500	AT2G34470 || AT2G34470.1 || AT2G34470.2	positive regulation of urease activity | nucleotide binding | nickel cation binding | nitrogen compound metabolic process | GTP binding | metal ion binding | GTPase activity | positive regulation of catalytic activity||cytoplasm | membrane
2288	6487	2288_6487	NA	898	1892	656	84.756	243	895	1150	1804	0	654	354	NW_017984567.1_S000181_52440_52539_ID_2288	Scaffold000181	52440	52539	LOC109788791	P03-10G-6487	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G14760	2185479 || 2185480	AT5G14760.1 || AT5G14760	mitochondrion||L-aspartate oxidase activity | NAD biosynthetic process | L-aspartate:fumarate oxidoreductase activity | chloroplast | oxidation-reduction process
5503	6527	5503_6527	NA	1128	3129	666	80.03	100	742	1228	577	1.32e-128	459	248	NW_017984166.1_S000231_55732_55831_ID_5503.m	Scaffold000231	55732	55831	LOC109814587	P03-10G-6527	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G49980	2031050 || 2031049	AT1G49980 || AT1G49980.1	metal ion binding | nucleus | DNA replication | damaged DNA binding | single-stranded DNA binding | DNA repair | DNA-directed DNA polymerase activity||cytoplasm | membrane
7092	5163	7092_5163	ID	958	5835	603	81.592	365	956	1568	2158	3.09e-134	477	258	NW_017985703.1_S135229_7676_7775_ID_7092	Scaffold135229	7676	7775	LOC109792946	P03-10G-5163	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G77140	2196025 || 2196024	AT1G77140 || AT1G77140.1	protein binding | vesicle docking involved in exocytosis | protein secretion | plant-type vacuole membrane | trans-Golgi network | protein transporter activity | intracellular protein transport||Golgi apparatus
4032	6176	4032_6176	NA	973	2040	342	79.24	648	971	1564	1899	7.55e-56	217	117	NW_017985173.1_S132088_31747_31990_ID_4032	Scaffold132088	31747	31990	LOC109791881	P03-10G-6176	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G64050	2164381 || 3441129	AT5G64050 || AT5G64050.1	ATP binding | chloroplast organization | chloroplast | mitochondrion | tRNA binding | tRNA aminoacylation | zinc ion binding | glutamyl-tRNA aminoacylation | protein binding | plant ovule development | mitochondrion organization | glutamate-tRNA ligase activity||chloroplast | chloroplast stroma | cytoplasm
6424	6947	6424_6947	ID	982	3356	328	77.134	436	757	2521	2840	3.6e-44	178	96	NC_033804.1_LG_01_1619816_1620039_ID_6424	01	1619816	1620039	LOC109795066	P03-03G-6947	P03-03G	Huerteales	Gerrardinaceae	Gerrardina foliosa	Oliv.	AT1G24340	2032482 || 2032481	AT1G24340 || AT1G24340.1	monooxygenase activity | FAD binding | embryo development ending in seed dormancy||cytoplasm
5098	5921	5098_5921	NA	874	8916	142	86.62	359	498	3376	3515	5.38e-37	154	83	NW_017984342.1_S132119_149403_149502_ID_5098	Scaffold132119	149403	149502	LOC109818078	P03-03G-5921	P03-03G	Huerteales	Gerrardinaceae	Gerrardina foliosa	Oliv.	AT5G48600	2152526 || 6530297976 || 2152525	AT5G48600 || AT5G48600.2 || AT5G48600.1	chromosome | transporter activity | mitotic chromosome condensation | mitotic sister chromatid segregation | chromosome segregation | nucleus | cell division | meiotic cell cycle | ATP binding | embryo development ending in seed dormancy | chromosome organization||nucleus
4681	6366	4681_6366	NA	1420	1795	505	81.98	1	504	501	1	6.09e-118	424	229	NC_033806.1_LG_03_19751676_19751775_ID_4681	03	19751676	19751775	LOC109797189	P01-05H-6366	P01-05H	Oxalidales	Brunelliaceae	Brunellia mexicana	Standl.	AT3G21540	2089855 || 2089854	AT3G21540 || AT3G21540.1	heterotrimeric G-protein complex | nucleotide binding||nucleolus | nucleus
1686	7371	1686_7371	NA	1016	730	149	93.96	477	625	277	425	1.31e-58	226	122	NW_017984157.1_S135298_152502_152741_ID_1686	Scaffold135298	152502	152741	LOC109814361	P01-05H-7371	P01-05H	Oxalidales	Brunelliaceae	Brunellia mexicana	Standl.	AT2G05310	2051264 || 2051263	AT2G05310 || AT2G05310.1	biological_process_unknown | integral component of membrane | molecular_function_unknown||chloroplast
2658	5620	2658_5620	NA	962	1777	830	83.012	139	962	1374	549	0	743	402	NC_033808.1_LG_05_742546_742823_ID_2658	05	742546	742823	LOC109799469	P01-05H-5620	P01-05H	Oxalidales	Brunelliaceae	Brunellia mexicana	Standl.	AT2G19870	2051910 || 2051909	AT2G19870 || AT2G19870.1	RNA methyltransferase activity | RNA binding | RNA processing||cytoplasm | chloroplast
